Name,URL,Organisation,Description,Location,Latitude,Longitude
Washington,http://data.wa.gov/,State Of Washington,Public Open Data of the State of Washington,"38.8951118,-77.0363658",38.8951118,-77.0363658
Laatua Verkkoon (finland) Catalog,http://data.suomi.fi,,Link list (and placeholder for future catalog) to Finnish data resources. Launched 2009,"64,26",64,26
"Surrey, British Columbia",http://www.surrey.ca/city-services/658.aspx,City Of Surrey,Uses the PDDL license.,"49.1063541539,-122.825088501",49.1063541539,-122.825088501
Sutton Open Data,http://www.sutton.gov.uk,,London Borough of Sutton Open Data Catalog,"51.35,-0.2",51.35,-0.2
Texas,http://www.texas.gov/en/connect/pages/open-data.aspx,State Of Texas,State of Texas Open Data Catalog,"31.2504424,-99.2506061",31.2504424,-99.2506061
Texas Transparency,http://www.texastransparency.org/opendata/index.php,Texas Comptroller Of Public Accounts,"The Open Data Center is a new service offered as part of the Comptroller's transparency initiative. It is designed to provide direct access to machine-readable, platform-independent raw datasets, as well as other important data tools created by Texas CPA.
New datasets and data tools will continue to be added as this section expands. Your feedback is welcome and encouraged. Let us know how you have used this data and what other types of data and data formats you would like to see.","31.2504424,-99.2506061",31.2504424,-99.2506061
Thailand Opendata,http://data.pm.go.th/,Thai Prime Minister's Office,Catalog of the public data of Thailand,15100,15100,
The Data Hub,http://thedatahub.org/,Open Knowledge Foundation,"An openly editable registry for open data (and a few closed ones).

CKAN makes it easy to find, share and reuse open content and data, especially in ways that are machine automatable.

Includes more than 3000 datasets, including the metadata of all the Linked Open Data used to draw the [LOD Cloud](http://lod-cloud.net/)

A flagship install of the [CKAN software](http://ckan.org/).

The original community catalogue, running since 2007. 

Previously known as ckan.net. 

Maintainers: Rufus Pollock, Friedrich Lindenberg, Richard Cyganiak, David Read",",,",,
Tirol Data Portal,http://data.tirol.gv.at,Landesregierung Tirol,"Launched April 2012, with 13 datasets on environment and tourism.","47.25,11.3333333",47.25,11.3333333
"Township Of Langley, British Columbia",http://www.tol.ca/servicescontact/opendata/opendatacatalogue.aspx,Township Of Langley,You may send [feedback](http://www.tol.ca/ServicesContact/OpenData/OpenDataFeedback.aspx). Uses the PDDL license.,"49.082969808,-122.585894007",49.082969808,-122.585894007
Torino - Aperto,http://www.comune.torino.it/aperto,City Of Turin,"Open data portal for the city of Turin (Torino), Italy.","45.0704898496,7.68682479858",45.0704898496,7.68682479858
"Toronto, Ontario",http://www.toronto.ca/open,City Of Toronto,You may send [feedback](mailto:opendata@toronto.ca) and [request datasets](http://www.datato.org/app/). The current license is based upon the the UK Government's Open Government Licence for Public Sector Information and has been adapted with the permission of the UK National Archives. The previous license adapted the [Vancouver license](http://www1.toronto.ca/wps/portal/open_data/open_data_fact_sheet_details?vgnextoid=59986aa8cc819210VgnVCM10000067d60f89RCRD). See the [FAQ](http://www1.toronto.ca/wps/portal/open_data/open_data_fact_sheet_details?vgnextoid=cca1eaaa805c9210VgnVCM10000067d60f89RCRD).,"43.700113788,-79.416304194",43.700113788,-79.416304194
Open Data Regione Toscana,http://dati.toscana.it/,Regione Toscana,"Official Open Data portal for the region of Toscana (Tuscany), Italy.","43.4166667,11",43.4166667,11
Grand Toulouse Data,http://data.grandtoulouse.fr/,Communauté Urbaine Du Grand Toulouse,France's city of Toulouse's Area OpenData store,"43.6042618681,1.44367218018",43.6042618681,1.44367218018
Trafford Open Data,http://www.trafford.gov.uk/opendata,,Borough of Trafford (UK) Open Data Catalog,"53.4166667,-2.3333333",53.4166667,-2.3333333
Uae Open Data,http://www.government.ae/web/guest/uae-data,United Arab Emirates Government,"The UAE Government has adopted the Open Data practice to make government data and information seamlessly available to people. Under the Open Data, information is made usable, reusable and accessible to the public.","24,54",24,54
Open Un-habitat Transparency Initiative,http://open.unhabitat.org/,Un-habitat,"Project and programme data from UN-HABITAT, the United Nations Human Settlements Programme.",",,",,
United Nations (undata) Catalog,http://www.undata-api.org/wiki/datasets,,UNdata is a data access system to UN databases,",,",,
University Of Oxford,http://data.ox.ac.uk/,University Of Oxford,The site aims to collect data from around the University and make it available for reuse as linked data under open licenses.,"51.7522210026,-1.25596046448",51.7522210026,-1.25596046448
University Of Southampton Open Data,http://data.southampton.ac.uk/home.html,University Of Southampton,"The University of Southampton provides open access to some of our administrative data.

We believe that this will be of benefit to our own members and visitors, and increase the transparency of our operations.","50.9039464904,-1.40428205531",50.9039464904,-1.40428205531
Us Dol Enforcement Data,http://enforcedata.dol.gov,Us Dol,"The US Department of Labor's Enforcement Data site aims to make administrative data, collected by the agencies, accessible in machine readable formats, and searchable.","39.76,-98.5",39.76,-98.5
Usaspending.gov,http://usaspending.gov/,Us Government,"The Federal Funding Accountability and Transparency Act (FFATA) of 2006, full text of the Transparency Act ( ), requires that the Office of Management and Budget (OMB) establish a single searchable website, accessible to the public at no cost, which includes for each Federal award:

the name of the entity receiving the award;
the amount of the award;
information on the award including transaction type, funding agency, etc;
the location of the entity receiving the award; and
a unique identifier of the entity receiving the award.
USAspending.gov was first launched in December 2007 to fulfill these requirements. Prime award information shown on the website is provided by Federal Agencies through four main source systems (see Sources of Data). USAspending.gov receives and displays data pertaining to obligations (amounts awarded for federally sponsored projects during a given budget period), not outlays or expenditures (actual cash disbursements made against each project). Read the latest OMB-issued memoranda M-09-19, ""Guidance on Data Submission under the Federal Funding Accountability and Transparency Act"" ( ) as it provides guidance to agencies on how to report information to USAspending.gov.

USAspending.gov has been recently updated in October 2010 to display of first-tier sub-award data (subcontracts and subgrants). Sub-award information shown on the website is provided by FSRS (see Sources of Data). The latest guidance documents pertaining to sub-award reporting can be found under News.","39.76,-98.5",39.76,-98.5
Utah,http://www.utah.gov/data/,State Of Utah,"Access raw State data files, databases, geographic data, and other data sources from the State of Utah Catalog","40.2968979,-111.6946475",40.2968979,-111.6946475
"Vancouver, British Columbia",http://data.vancouver.ca/datacatalogue/index.htm,City Of Vancouver,You may send [feedback](http://data.vancouver.ca/feedback/) and subscribe to [dataset updates](http://data.vancouver.ca/updates.htm). Uses the [Vancouver license](http://data.vancouver.ca/termsOfUse.htm).,"49.249657393,-123.119340403",49.249657393,-123.119340403
Open Data Ville De Bordeaux,http://opendata.bordeaux.fr/,Ville De Bordeaux,"Open Data portal of the City of Bordeaux, France",",,",,
"Montréal, Québec",http://donnees.ville.montreal.qc.ca/,Ville De Montréal,Adapted the [CC BY-SA](http://donnees.ville.montreal.qc.ca/licence) license.,"45.5088375,-73.587809",45.5088375,-73.587809
Virginia Auditor Of Public Accounts Commonwealth Data Point,http://datapoint.apa.virginia.gov/,State Of Virginia,Virginia Datapoint Open Data,"36.8529263,-75.977985",36.8529263,-75.977985
Warwickshire Open Data,http://opendata.warwickshire.gov.uk/datasets/,,County of Warwickshire (UK) Open Data Catalog,"52.3333333,-1.5833333",52.3333333,-1.5833333
"Winnipeg, Manitoba 2010 Election",http://winnipegelection.ca/open_data_2010,,Citizen-created shapefiles and election results.,"49.884398624,-97.147044715",49.884398624,-97.147044715
The World Bank Catalog,http://developer.worldbank.org,,"The World Bank's first API offers 114 indicators from key data sources and 12,000 development photos.",",,",,
Wyre Council Open Data,http://www.wyre.gov.uk/opendata,Wyre Council,Official council data,"53.9252671848,-3.01085472107",53.9252671848,-3.01085472107
Zaragoza Public Data Catalogue,http://datos.zaragoza.es,,Zaragoza Public Data Catalogue,"41.6560643303,-0.877339839935",41.6560643303,-0.877339839935
